genbank_accession	genbank_accession_rev	strain	date	region	country	division	location	length	host	lineage	release_date	update_date	sra_accessions	authors	institution
KY703963	KY703963.1	KY703963	2015-09-07	North America	Nicaragua	Managua		11328	Homo sapiens	Asian and Caribbean	2017-04-01	2017-04-01		Shabman et al.	J. Craig Venter Institute
KY703964	KY703964.1	KY703964	2015-10-16	North America	Nicaragua	Leon		11307	Homo sapiens	Asian and Caribbean	2017-04-01	2017-04-01		Shabman et al.	J. Craig Venter Institute
KY703965	KY703965.1	KY703965	2015-09-03	North America	Nicaragua	Managua		11306	Homo sapiens	Asian and Caribbean	2017-04-01	2017-04-01		Shabman et al.	J. Craig Venter Institute
KY703966	KY703966.1	KY703966	2015-12-10	North America	Nicaragua	Managua		11791	Homo sapiens	Asian and Caribbean	2017-04-01	2017-04-01		Shabman et al.	J. Craig Venter Institute
KY703967	KY703967.1	KY703967	2015-08-12	North America	Nicaragua	Managua		12136	Homo sapiens	Asian and Caribbean	2017-04-01	2017-04-01		Shabman et al.	J. Craig Venter Institute
KY703968	KY703968.1	KY703968	2015-01-23	North America	Nicaragua	Managua		11445	Homo sapiens	Asian and Caribbean	2017-04-01	2017-04-01		Shabman et al.	J. Craig Venter Institute
KY703969	KY703969.1	KY703969	2014-11-14	North America	Nicaragua	Managua		12136	Homo sapiens	Asian and Caribbean	2017-04-01	2017-04-01		Shabman et al.	J. Craig Venter Institute
KY703970	KY703970.1	KY703970	2015-11-28	North America	Nicaragua	Carazo		12136	Homo sapiens	Asian and Caribbean	2017-04-01	2017-04-01		Shabman et al.	J. Craig Venter Institute
KY703971	KY703971.1	KY703971	2015-11-28	North America	Nicaragua	Carazo		11456	Homo sapiens	Asian and Caribbean	2017-04-01	2017-04-01		Shabman et al.	J. Craig Venter Institute
KY703972	KY703972.1	KY703972	2014-12-09	North America	Nicaragua	Managua		11867	Homo sapiens	Asian and Caribbean	2017-04-01	2017-04-01		Shabman et al.	J. Craig Venter Institute
KY703973	KY703973.1	KY703973	2015-11-06	North America	Nicaragua	Managua		11307	Homo sapiens	Asian and Caribbean	2017-04-01	2017-04-01		Shabman et al.	J. Craig Venter Institute
KY703974	KY703974.1	KY703974	2015-09-03	North America	Nicaragua	Managua		11775	Homo sapiens	Asian and Caribbean	2017-04-01	2017-04-01		Shabman et al.	J. Craig Venter Institute
KY703975	KY703975.1	KY703975	2015-09-22	North America	Nicaragua	Masaya		11307	Homo sapiens	Asian and Caribbean	2017-04-01	2017-04-01		Shabman et al.	J. Craig Venter Institute
KY703976	KY703976.1	KY703976	2015-09-05	North America	Nicaragua	Managua		11633	Homo sapiens	Asian and Caribbean	2017-04-01	2017-04-01		Shabman et al.	J. Craig Venter Institute
KY703977	KY703977.1	KY703977	2015-08-03	North America	Nicaragua	Managua		11663	Homo sapiens	Asian and Caribbean	2017-04-01	2017-04-01		Shabman et al.	J. Craig Venter Institute
KY703978	KY703978.1	KY703978	2015-12-02	North America	Nicaragua	Masaya		12136	Homo sapiens	Asian and Caribbean	2017-04-01	2017-04-01		Shabman et al.	J. Craig Venter Institute
KY703979	KY703979.1	KY703979	2015-09-22	North America	Nicaragua	Matagalpa		11307	Homo sapiens	Asian and Caribbean	2017-04-01	2017-04-01		Shabman et al.	J. Craig Venter Institute
KY703980	KY703980.1	KY703980	2015-09-06	North America	Nicaragua	Managua		11300	Homo sapiens	Asian and Caribbean	2017-04-01	2017-04-01		Shabman et al.	J. Craig Venter Institute
KY703981	KY703981.1	KY703981	2014-11-21	North America	Nicaragua	Managua		11307	Homo sapiens	Asian and Caribbean	2017-04-01	2017-04-01		Shabman et al.	J. Craig Venter Institute
KY703982	KY703982.1	KY703982	2015-11-30	North America	Nicaragua	Managua		11709	Homo sapiens	Asian and Caribbean	2017-04-01	2017-04-01		Shabman et al.	J. Craig Venter Institute
KY703983	KY703983.1	KY703983	2014-12-11	North America	Nicaragua	Managua		11710	Homo sapiens	Asian and Caribbean	2017-04-01	2017-04-01		Shabman et al.	J. Craig Venter Institute
KY703984	KY703984.1	KY703984	2014-11-27	North America	Nicaragua	Managua		11775	Homo sapiens	Asian and Caribbean	2017-04-01	2017-04-01		Shabman et al.	J. Craig Venter Institute
KY703985	KY703985.1	KY703985	2015-08-13	North America	Nicaragua	Managua		12136	Homo sapiens	Asian and Caribbean	2017-04-01	2017-04-01		Shabman et al.	J. Craig Venter Institute
KY703986	KY703986.1	KY703986	2015-09-16	North America	Nicaragua	Managua		12136	Homo sapiens	Asian and Caribbean	2017-04-01	2017-04-01		Shabman et al.	J. Craig Venter Institute
KY703987	KY703987.1	KY703987	2015-11-04	North America	Nicaragua	Managua		11952	Homo sapiens	Asian and Caribbean	2017-04-01	2017-04-01		Shabman et al.	J. Craig Venter Institute
KY703988	KY703988.1	KY703988	2014-11-27	North America	Nicaragua	Managua		11307	Homo sapiens	Asian and Caribbean	2017-04-01	2017-04-01		Shabman et al.	J. Craig Venter Institute
KY703989	KY703989.1	KY703989	2014-12-03	North America	Nicaragua	Managua		11740	Homo sapiens	Asian and Caribbean	2017-04-01	2017-04-01		Shabman et al.	J. Craig Venter Institute
KY703990	KY703990.1	KY703990	2015-11-21	North America	Nicaragua	Managua		12136	Homo sapiens	Asian and Caribbean	2017-04-01	2017-04-01		Shabman et al.	J. Craig Venter Institute
KY703991	KY703991.1	KY703991	2015-10-09	North America	Nicaragua	Managua		11775	Homo sapiens	Asian and Caribbean	2017-04-01	2017-04-01		Shabman et al.	J. Craig Venter Institute
KY703992	KY703992.1	KY703992	2015-08-05	North America	Nicaragua	Managua		11783	Homo sapiens	Asian and Caribbean	2017-04-01	2017-04-01		Shabman et al.	J. Craig Venter Institute
KY703993	KY703993.1	KY703993	2014-11-07	North America	Nicaragua	Managua		12136	Homo sapiens	Asian and Caribbean	2017-04-01	2017-04-01		Shabman et al.	J. Craig Venter Institute
KY703994	KY703994.1	KY703994	2015-11-18	North America	Nicaragua	Esteli		12136	Homo sapiens	Asian and Caribbean	2017-04-01	2017-04-01		Shabman et al.	J. Craig Venter Institute
KY703995	KY703995.1	KY703995	2015-08-13	North America	Nicaragua	Managua		11660	Homo sapiens	Asian and Caribbean	2017-04-01	2017-04-01		Shabman et al.	J. Craig Venter Institute
KY703996	KY703996.1	KY703996	2015-12-26	North America	Nicaragua	Managua		11571	Homo sapiens	Asian and Caribbean	2017-04-01	2017-04-01		Shabman et al.	J. Craig Venter Institute
KY703997	KY703997.1	KY703997	2015-12-19	North America	Nicaragua	Managua		11952	Homo sapiens	Asian and Caribbean	2017-04-01	2017-04-01		Shabman et al.	J. Craig Venter Institute
KY703998	KY703998.1	KY703998	2015-08-06	North America	Nicaragua	Managua		11694	Homo sapiens	Asian and Caribbean	2017-04-01	2017-04-01		Shabman et al.	J. Craig Venter Institute
KY703999	KY703999.1	KY703999	2015-01-19	North America	Nicaragua	Managua		11952	Homo sapiens	Asian and Caribbean	2017-04-01	2017-04-01		Shabman et al.	J. Craig Venter Institute
KY704000	KY704000.1	KY704000	2015-08-05	North America	Nicaragua	Managua		12136	Homo sapiens	Asian and Caribbean	2017-04-01	2017-04-01		Shabman et al.	J. Craig Venter Institute
KY704001	KY704001.1	KY704001	2015-01-21	North America	Nicaragua	Managua		11617	Homo sapiens	Asian and Caribbean	2017-04-01	2017-04-01		Shabman et al.	J. Craig Venter Institute
KY704002	KY704002.1	KY704002	2015-01-15	North America	Nicaragua	Managua		11307	Homo sapiens	Asian and Caribbean	2017-04-01	2017-04-01		Shabman et al.	J. Craig Venter Institute
KY704933	KY704933.1	KY704933	2016-03-30	South America	Brazil	Maceio	Alagoas	10486	Homo sapiens	East-Central-South-African	2017-07-24	2017-07-24		da Costa et al.	"University of Oxford, Department of Zoology"
KY704934	KY704934.1	KY704934	2016-03-30	South America	Brazil	Maceio	Alagoas	11050	Homo sapiens	East-Central-South-African	2017-07-24	2017-07-24		da Costa et al.	"University of Oxford, Department of Zoology"
KY704935	KY704935.1	KY704935	2016-04-01	South America	Brazil	Maceio	Alagoas	11093	Homo sapiens	East-Central-South-African	2017-07-24	2017-07-24		da Costa et al.	"University of Oxford, Department of Zoology"
KY704936	KY704936.1	KY704936	2016-04-01	South America	Brazil	Maceio	Alagoas	11630	Homo sapiens	East-Central-South-African	2017-07-24	2017-07-24		da Costa et al.	"University of Oxford, Department of Zoology"
KY704937	KY704937.1	KY704937	2016-04-15	South America	Brazil	Maceio	Alagoas	11214	Homo sapiens	East-Central-South-African	2017-07-24	2017-07-24		da Costa et al.	"University of Oxford, Department of Zoology"
KY704938	KY704938.1	KY704938	2016-04-19	South America	Brazil	Maceio	Alagoas	10945	Homo sapiens	East-Central-South-African	2017-07-24	2017-07-24		da Costa et al.	"University of Oxford, Department of Zoology"
KY704939	KY704939.1	KY704939	2016-04-17	South America	Brazil	Maceio	Alagoas	11211	Homo sapiens	East-Central-South-African	2017-07-24	2017-07-24		da Costa et al.	"University of Oxford, Department of Zoology"
KY704940	KY704940.1	KY704940	2016-04-14	South America	Brazil	Maceio	Alagoas	11310	Homo sapiens	East-Central-South-African	2017-07-24	2017-07-24		da Costa et al.	"University of Oxford, Department of Zoology"
KY704941	KY704941.1	KY704941	2016-04-14	South America	Brazil	Maceio	Alagoas	10848	Homo sapiens	East-Central-South-African	2017-07-24	2017-07-24		da Costa et al.	"University of Oxford, Department of Zoology"
KY704942	KY704942.1	KY704942	2016-04-16	South America	Brazil	Maceio	Alagoas	11297	Homo sapiens	East-Central-South-African	2017-07-24	2017-07-24		da Costa et al.	"University of Oxford, Department of Zoology"
KY704943	KY704943.1	KY704943	2016-04-19	South America	Brazil	Maceio	Alagoas	11116	Homo sapiens	East-Central-South-African	2017-07-24	2017-07-24		da Costa et al.	"University of Oxford, Department of Zoology"
KY704944	KY704944.1	KY704944	2016-04-19	South America	Brazil	Maceio	Alagoas	11078	Homo sapiens	East-Central-South-African	2017-07-24	2017-07-24		da Costa et al.	"University of Oxford, Department of Zoology"
KY704945	KY704945.1	KY704945	2016-04-14	South America	Brazil	Maceio	Alagoas	11118	Homo sapiens	East-Central-South-African	2017-07-24	2017-07-24		da Costa et al.	"University of Oxford, Department of Zoology"
KY704946	KY704946.1	KY704946	2016-04-17	South America	Brazil	Capela	Alagoas	11121	Homo sapiens	East-Central-South-African	2017-07-24	2017-07-24		da Costa et al.	"University of Oxford, Department of Zoology"
KY704947	KY704947.1	KY704947	2016-04-15	South America	Brazil	Maceio	Alagoas	11273	Homo sapiens	East-Central-South-African	2017-07-24	2017-07-24		da Costa et al.	"University of Oxford, Department of Zoology"
KY704948	KY704948.1	KY704948	2016-04-19	South America	Brazil	Maceio	Alagoas	11212	Homo sapiens	East-Central-South-African	2017-07-24	2017-07-24		da Costa et al.	"University of Oxford, Department of Zoology"
KY704949	KY704949.1	KY704949	2016-04-07	South America	Brazil	Maceio	Alagoas	11114	Homo sapiens	East-Central-South-African	2017-07-24	2017-07-24		da Costa et al.	"University of Oxford, Department of Zoology"
KY704950	KY704950.1	KY704950	2016-04-07	South America	Brazil	Maceio	Alagoas	11112	Homo sapiens	East-Central-South-African	2017-07-24	2017-07-24		da Costa et al.	"University of Oxford, Department of Zoology"
KY704951	KY704951.1	KY704951	2016-04-13	South America	Brazil	Maceio	Alagoas	11054	Homo sapiens	East-Central-South-African	2017-07-24	2017-07-24		da Costa et al.	"University of Oxford, Department of Zoology"
KY704952	KY704952.1	KY704952	2016-04-07	South America	Brazil	Maceio	Alagoas	11246	Homo sapiens	East-Central-South-African	2017-07-24	2017-07-24		da Costa et al.	"University of Oxford, Department of Zoology"
KY704953	KY704953.1	KY704953	2016-04-09	South America	Brazil	Maceio	Alagoas	11109	Homo sapiens	East-Central-South-African	2017-07-24	2017-07-24		da Costa et al.	"University of Oxford, Department of Zoology"
KY704954	KY704954.1	KY704954	2016-06-20	South America	Brazil	Joao Pessoa	Paraiba	11804	Homo sapiens	East-Central-South-African	2017-07-24	2017-07-24		da Costa et al.	"University of Oxford, Department of Zoology"
KY704955	KY704955.1	KY704955	2016-06-17	South America	Brazil	Joao Pessoa	Paraiba	11804	Homo sapiens	East-Central-South-African	2017-07-24	2017-07-24		da Costa et al.	"University of Oxford, Department of Zoology"
MF773560	MF773560.1	MF773560	2014-XX-XX					12012	Homo sapiens	Asian and Caribbean	2018-01-29	2018-03-20		Pyke et al.	"Queensland Health Forensic and Scientific Services, Public Health Virology"
MW581862	MW581862.1	MW581862	XXXX-XX-XX	Asia	India			11805	Homo sapiens	East-Central-South-African	2021-07-07	2021-07-07		Sunil et al.	"International Centre for Genetic Engineering and Biotechnology, Vector Borne Disease Group"
MW581863	MW581863.1	MW581863	XXXX-XX-XX	Asia	India			11827	Homo sapiens	East-Central-South-African	2021-07-07	2021-07-07		Sunil et al.	"International Centre for Genetic Engineering and Biotechnology, Vector Borne Disease Group"
MW581864	MW581864.1	MW581864	XXXX-XX-XX	Asia	India			11814	Homo sapiens	East-Central-South-African	2021-07-07	2021-07-07		Sunil et al.	"International Centre for Genetic Engineering and Biotechnology, Vector Borne Disease Group"
MW581865	MW581865.1	MW581865	XXXX-XX-XX	Asia	India			11819	Homo sapiens	East-Central-South-African	2021-07-07	2021-07-07		Sunil et al.	"International Centre for Genetic Engineering and Biotechnology, Vector Borne Disease Group"
MW581866	MW581866.1	MW581866	XXXX-XX-XX	Asia	India			11820	Homo sapiens	East-Central-South-African	2021-07-07	2021-07-07		Sunil et al.	"International Centre for Genetic Engineering and Biotechnology, Vector Borne Disease Group"
MW581867	MW581867.1	MW581867	XXXX-XX-XX	Asia	India			11816	Homo sapiens	East-Central-South-African	2021-07-07	2021-07-07		Sunil et al.	"International Centre for Genetic Engineering and Biotechnology, Vector Borne Disease Group"
MW581868	MW581868.1	MW581868	XXXX-XX-XX	Asia	India			11824	Homo sapiens	East-Central-South-African	2021-07-07	2021-07-07		Sunil et al.	"International Centre for Genetic Engineering and Biotechnology, Vector Borne Disease Group"
MW581869	MW581869.1	MW581869	XXXX-XX-XX	Asia	India			11817	Homo sapiens	East-Central-South-African	2021-07-07	2021-07-07		Sunil et al.	"International Centre for Genetic Engineering and Biotechnology, Vector Borne Disease Group"
KY751908	KY751908.1	KY751908	2016-XX-XX	Oceania	Australia	Imported From India		11796	Homo sapiens	East-Central-South-African	2017-03-22	2017-03-22		Huang et al.	"Forensic and Scientific Services, Public and Environmental Health"
KY883764	KY883764.1	KY883764	2013-01-XX	Asia	Singapore			11774	Homo sapiens	Asian and Caribbean	2017-09-27	2017-09-27		Tien et al.	"National Environment Agency, Environmental Health Institute"
MW581870	MW581870.1	MW581870	XXXX-XX-XX	Asia	India			11814	Homo sapiens	East-Central-South-African	2021-07-07	2021-07-07		Sunil et al.	"International Centre for Genetic Engineering and Biotechnology, Vector Borne Disease Group"
MW581871	MW581871.1	MW581871	XXXX-XX-XX	Asia	India			11815	Homo sapiens	East-Central-South-African	2021-07-07	2021-07-07		Sunil et al.	"International Centre for Genetic Engineering and Biotechnology, Vector Borne Disease Group"
MW581872	MW581872.1	MW581872	XXXX-XX-XX	Asia	India			11816	Homo sapiens	East-Central-South-African	2021-07-07	2021-07-07		Sunil et al.	"International Centre for Genetic Engineering and Biotechnology, Vector Borne Disease Group"
MW581873	MW581873.1	MW581873	XXXX-XX-XX	Asia	India			11818	Homo sapiens	East-Central-South-African	2021-07-07	2021-07-07		Sunil et al.	"International Centre for Genetic Engineering and Biotechnology, Vector Borne Disease Group"
MW581874	MW581874.1	MW581874	XXXX-XX-XX	Asia	India			11823	Homo sapiens	East-Central-South-African	2021-07-07	2021-07-07		Sunil et al.	"International Centre for Genetic Engineering and Biotechnology, Vector Borne Disease Group"
MW581875	MW581875.1	MW581875	XXXX-XX-XX	Asia	India			11820	Homo sapiens	East-Central-South-African	2021-07-07	2021-07-07		Sunil et al.	"International Centre for Genetic Engineering and Biotechnology, Vector Borne Disease Group"
MW581876	MW581876.1	MW581876	XXXX-XX-XX	Asia	India			11822	Homo sapiens	East-Central-South-African	2021-07-07	2021-07-07		Sunil et al.	"International Centre for Genetic Engineering and Biotechnology, Vector Borne Disease Group"
MW581877	MW581877.1	MW581877	XXXX-XX-XX	Asia	India			11820	Homo sapiens	East-Central-South-African	2021-07-07	2021-07-07		Sunil et al.	"International Centre for Genetic Engineering and Biotechnology, Vector Borne Disease Group"
MW581878	MW581878.1	MW581878	XXXX-XX-XX	Asia	India			11820	Homo sapiens	East-Central-South-African	2021-07-07	2021-07-07		Sunil et al.	"International Centre for Genetic Engineering and Biotechnology, Vector Borne Disease Group"
MW581879	MW581879.1	MW581879	XXXX-XX-XX	Asia	India			11825	Homo sapiens	East-Central-South-African	2021-07-07	2021-07-07		Sunil et al.	"International Centre for Genetic Engineering and Biotechnology, Vector Borne Disease Group"
MW581880	MW581880.1	MW581880	XXXX-XX-XX	Asia	India			11820	Homo sapiens	East-Central-South-African	2021-07-07	2021-07-07		Sunil et al.	"International Centre for Genetic Engineering and Biotechnology, Vector Borne Disease Group"
MW581881	MW581881.1	MW581881	XXXX-XX-XX	Asia	India			11808	Homo sapiens	East-Central-South-African	2021-07-07	2021-07-07		Sunil et al.	"International Centre for Genetic Engineering and Biotechnology, Vector Borne Disease Group"
MW581882	MW581882.1	MW581882	XXXX-XX-XX	Asia	India			11818	Homo sapiens	East-Central-South-African	2021-07-07	2021-07-07		Sunil et al.	"International Centre for Genetic Engineering and Biotechnology, Vector Borne Disease Group"
MW581883	MW581883.1	MW581883	XXXX-XX-XX	Asia	India			11825	Homo sapiens	East-Central-South-African	2021-07-07	2021-07-07		Sunil et al.	"International Centre for Genetic Engineering and Biotechnology, Vector Borne Disease Group"
MW581884	MW581884.1	MW581884	XXXX-XX-XX	Asia	India			11825	Homo sapiens	East-Central-South-African	2021-07-07	2021-07-07		Sunil et al.	"International Centre for Genetic Engineering and Biotechnology, Vector Borne Disease Group"
MW581885	MW581885.1	MW581885	XXXX-XX-XX	Asia	India			11822	Homo sapiens	East-Central-South-African	2021-07-07	2021-07-07		Sunil et al.	"International Centre for Genetic Engineering and Biotechnology, Vector Borne Disease Group"
OL741631	OL741631.1	OL741631	XXXX-XX-XX	Asia	Cambodia			11784	Homo sapiens	East-Central-South-African	2022-02-06	2022-02-06		Yek et al.	"National Institute of Allergy and Infectious Diseases, Laboratory of Malaria and Vector Research"
OL741632	OL741632.1	OL741632	XXXX-XX-XX	Asia	Cambodia			11606	Homo sapiens	East-Central-South-African	2022-02-06	2022-02-06		Yek et al.	"National Institute of Allergy and Infectious Diseases, Laboratory of Malaria and Vector Research"
OL840905	OL840905.1	OL840905	XXXX-XX-XX	Asia	China			11786	Homo sapiens	East-Central-South-African	2022-11-22	2022-11-22		Pan et al.	"Zhejiang Provincial Center for Disease Control and Prevention, Microbiology"
OL840906	OL840906.1	OL840906	XXXX-XX-XX	Asia	China			11786	Homo sapiens	East-Central-South-African	2022-11-22	2022-11-22		Pan et al.	"Zhejiang Provincial Center for Disease Control and Prevention, Microbiology"
OL840907	OL840907.1	OL840907	XXXX-XX-XX	Asia	China			11436	Homo sapiens	East-Central-South-African	2022-11-22	2022-11-22		Pan et al.	"Zhejiang Provincial Center for Disease Control and Prevention, Microbiology"
OR283254	OR283254.1	OR283254	XXXX-XX-XX	Asia	India			11813	Homo sapiens	East-Central-South-African	2023-09-20	2023-09-20		Kumar et al.	"Translational Health Science and Technology Institute, Infection and Immunology"
OZ252700	OZ252700.1	OZ252700	2023-02-22	Europe	Spain			11816	Homo sapiens	East-Central-South-African	2025-06-27	2025-10-21	ERR14869397	Casimiro-Soriguer et al.	"Clinical Bioinformatics Area, Hospital Virgen del Rocio, Avenida Manuel Siurot s/n, 41003"
OZ252701	OZ252701.1	OZ252701	2023-02-17	Europe	Spain			11816	Homo sapiens	East-Central-South-African	2025-06-27	2025-10-21	ERR14869396	Casimiro-Soriguer et al.	"Clinical Bioinformatics Area, Hospital Virgen del Rocio, Avenida Manuel Siurot s/n, 41003"
OZ252702	OZ252702.1	OZ252702	2023-03-14	Europe	Spain			11816	Homo sapiens	East-Central-South-African	2025-06-27	2025-10-21	ERR14869398	Casimiro-Soriguer et al.	"Clinical Bioinformatics Area, Hospital Virgen del Rocio, Avenida Manuel Siurot s/n, 41003"
OZ252703	OZ252703.1	OZ252703	2023-03-21	Europe	Spain			11816	Homo sapiens	East-Central-South-African	2025-06-27	2025-10-21	ERR14869399	Casimiro-Soriguer et al.	"Clinical Bioinformatics Area, Hospital Virgen del Rocio, Avenida Manuel Siurot s/n, 41003"
PP193832	PP193832.1	PP193832	2018-11-12	Asia	Thailand			11787	Homo sapiens	East-Central-South-African	2024-03-11	2024-03-11	SRR27609798	Krambrich et al.	"Uppsala University, Department of Medical Biochemistry and Microbiology"
PP193833	PP193833.1	PP193833	2018-12-08	Asia	Thailand			11787	Homo sapiens	East-Central-South-African	2024-03-11	2024-03-11	SRR27609797	Krambrich et al.	"Uppsala University, Department of Medical Biochemistry and Microbiology"
PP193834	PP193834.1	PP193834	2019-02-22	Asia	Thailand			11787	Homo sapiens	East-Central-South-African	2024-03-11	2024-03-11	SRR27609793	Krambrich et al.	"Uppsala University, Department of Medical Biochemistry and Microbiology"
PP193835	PP193835.1	PP193835	2019-03-19	Asia	Thailand			11787	Homo sapiens	East-Central-South-African	2024-03-11	2024-03-11	SRR27609788	Krambrich et al.	"Uppsala University, Department of Medical Biochemistry and Microbiology"
PP193836	PP193836.1	PP193836	2019-03-11	Asia	Thailand			11787	Homo sapiens	East-Central-South-African	2024-03-11	2024-03-11	SRR27609792	Krambrich et al.	"Uppsala University, Department of Medical Biochemistry and Microbiology"
