genbank_accession	genbank_accession_rev	strain	date	region	country	division	location	length	host	lineage	release_date	update_date	sra_accessions	authors	institution
AFI-LKN-257	AFI-LKN-257	AFI-LKN-257	2025-06-18	Africa	Kenya	Mombasa	Likoni		Homo sapiens	East-Central-South-African	2026-01-27	2026-01-27		Mutai et al.	WRAIR-Africa
AFI-LKN-258	AFI-LKN-258	AFI-LKN-258	2025-06-20	Africa	Kenya	Mombasa	Likoni		Homo sapiens	East-Central-South-African	2026-01-27	2026-01-27		Mutai et al.	WRAIR-Africa
AFI-LKN-259	AFI-LKN-259	AFI-LKN-259	2025-06-20	Africa	Kenya	Mombasa	Likoni		Homo sapiens	East-Central-South-African	2026-01-27	2026-01-27		Mutai et al.	WRAIR-Africa
AFI-LKN-262	AFI-LKN-262	AFI-LKN-262	2025-06-23	Africa	Kenya	Mombasa	Likoni		Homo sapiens	East-Central-South-African	2026-01-27	2026-01-27		Mutai et al.	WRAIR-Africa
AFI-LKN-263	AFI-LKN-263	AFI-LKN-263	2025-06-23	Africa	Kenya	Mombasa	Likoni		Homo sapiens	East-Central-South-African	2026-01-27	2026-01-27		Mutai et al.	WRAIR-Africa
AFI-LKN-264	AFI-LKN-264	AFI-LKN-264	2025-06-23	Africa	Kenya	Mombasa	Likoni		Homo sapiens	East-Central-South-African	2026-01-27	2026-01-27		Mutai et al.	WRAIR-Africa
AFI-LKN-266	AFI-LKN-266	AFI-LKN-266	2025-06-24	Africa	Kenya	Mombasa	Likoni		Homo sapiens	East-Central-South-African	2026-01-27	2026-01-27		Mutai et al.	WRAIR-Africa
AFI-LKN-267	AFI-LKN-267	AFI-LKN-267	2025-06-24	Africa	Kenya	Mombasa	Likoni		Homo sapiens	East-Central-South-African	2026-01-27	2026-01-27		Mutai et al.	WRAIR-Africa
AFI-LKN-268	AFI-LKN-268	AFI-LKN-268	2025-06-25	Africa	Kenya	Mombasa	Likoni		Homo sapiens	East-Central-South-African	2026-01-27	2026-01-27		Mutai et al.	WRAIR-Africa
AFI-LKN-270	AFI-LKN-270	AFI-LKN-270	2025-06-25	Africa	Kenya	Mombasa	Likoni		Homo sapiens	East-Central-South-African	2026-01-27	2026-01-27		Mutai et al.	WRAIR-Africa
AFI-LKN-271	AFI-LKN-271	AFI-LKN-271	2025-06-26	Africa	Kenya	Mombasa	Likoni		Homo sapiens	East-Central-South-African	2026-01-27	2026-01-27		Mutai et al.	WRAIR-Africa
AFI-LKN-272	AFI-LKN-272	AFI-LKN-272	2025-06-26	Africa	Kenya	Mombasa	Likoni		Homo sapiens	East-Central-South-African	2026-01-27	2026-01-27		Mutai et al.	WRAIR-Africa
AFI-LKN-274	AFI-LKN-274	AFI-LKN-274	2025-06-27	Africa	Kenya	Mombasa	Likoni		Homo sapiens	East-Central-South-African	2026-01-27	2026-01-27		Mutai et al.	WRAIR-Africa
AFI-LKN-350	AFI-LKN-350	AFI-LKN-350	2025-09-22	Africa	Kenya	Mombasa	Likoni		Homo sapiens	East-Central-South-African	2026-01-27	2026-01-27		Mutai et al.	WRAIR-Africa
AFI-LKN-393	AFI-LKN-393	AFI-LKN-393	2025-11-21	Africa	Kenya	Mombasa	Likoni		Homo sapiens	East-Central-South-African	2026-01-27	2026-01-27		Mutai et al.	WRAIR-Africa
AFI-MNB-1729	AFI-MNB-1729	AFI-MNB-1729	2025-02-18	Africa	Kenya	Mombasa	Likoni		Homo sapiens	East-Central-South-African	2026-01-27	2026-01-27		Mutai et al.	WRAIR-Africa
AFI-MNB-1758	AFI-MNB-1758	AFI-MNB-1758	2025-04-07	Africa	Kenya	Mombasa	Likoni		Homo sapiens	East-Central-South-African	2026-01-27	2026-01-27		Mutai et al.	WRAIR-Africa
AFI-MNB-1765	AFI-MNB-1765	AFI-MNB-1765	2025-04-11	Africa	Kenya	Mombasa	Likoni		Homo sapiens	East-Central-South-African	2026-01-27	2026-01-27		Mutai et al.	WRAIR-Africa
AFI-MNB-1785	AFI-MNB-1785	AFI-MNB-1785	2025-05-05	Africa	Kenya	Mombasa	Likoni		Homo sapiens	East-Central-South-African	2026-01-27	2026-01-27		Mutai et al.	WRAIR-Africa
AFI-MNB-1786	AFI-MNB-1786	AFI-MNB-1786	2025-05-05	Africa	Kenya	Mombasa	Likoni		Homo sapiens	East-Central-South-African	2026-01-27	2026-01-27		Mutai et al.	WRAIR-Africa
AFI-MNB-1788	AFI-MNB-1788	AFI-MNB-1788	2025-05-06	Africa	Kenya	Mombasa	Likoni		Homo sapiens	East-Central-South-African	2026-01-27	2026-01-27		Mutai et al.	WRAIR-Africa
AFI-MNB-1789	AFI-MNB-1789	AFI-MNB-1789	2025-05-07	Africa	Kenya	Mombasa	Likoni		Homo sapiens	East-Central-South-African	2026-01-27	2026-01-27		Mutai et al.	WRAIR-Africa
AFI-MNB-1790	AFI-MNB-1790	AFI-MNB-1790	2025-05-07	Africa	Kenya	Mombasa	Likoni		Homo sapiens	East-Central-South-African	2026-01-27	2026-01-27		Mutai et al.	WRAIR-Africa
AFI-MNB-1793	AFI-MNB-1793	AFI-MNB-1793	2025-05-08	Africa	Kenya	Mombasa	Likoni		Homo sapiens	East-Central-South-African	2026-01-27	2026-01-27		Mutai et al.	WRAIR-Africa
AFI-MNB-1794	AFI-MNB-1794	AFI-MNB-1794	2025-05-09	Africa	Kenya	Mombasa	Likoni		Homo sapiens	East-Central-South-African	2026-01-27	2026-01-27		Mutai et al.	WRAIR-Africa
AFI-MNB-1796	AFI-MNB-1796	AFI-MNB-1796	2025-05-09	Africa	Kenya	Mombasa	Likoni		Homo sapiens	East-Central-South-African	2026-01-27	2026-01-27		Mutai et al.	WRAIR-Africa
AFI-MNB-1799	AFI-MNB-1799	AFI-MNB-1799	2025-05-12	Africa	Kenya	Mombasa	Kisauni		Homo sapiens	East-Central-South-African	2026-01-27	2026-01-27		Mutai et al.	WRAIR-Africa
AFI-MNB-1800	AFI-MNB-1800	AFI-MNB-1800	2025-05-12	Africa	Kenya	Mombasa	Likoni		Homo sapiens	East-Central-South-African	2026-01-27	2026-01-27		Mutai et al.	WRAIR-Africa
AFI-MNB-1801	AFI-MNB-1801	AFI-MNB-1801	2025-05-12	Africa	Kenya	Mombasa	Likoni		Homo sapiens	East-Central-South-African	2026-01-27	2026-01-27		Mutai et al.	WRAIR-Africa
AFI-MNB-1802	AFI-MNB-1802	AFI-MNB-1802	2025-05-12	Africa	Kenya	Mombasa	Likoni		Homo sapiens	East-Central-South-African	2026-01-27	2026-01-27		Mutai et al.	WRAIR-Africa
AFI-MNB-1803	AFI-MNB-1803	AFI-MNB-1803	2025-05-13	Africa	Kenya	Mombasa	Likoni		Homo sapiens	East-Central-South-African	2026-01-27	2026-01-27		Mutai et al.	WRAIR-Africa
AFI-MNB-1804	AFI-MNB-1804	AFI-MNB-1804	2025-05-13	Africa	Kenya	Mombasa	Mvita		Homo sapiens	East-Central-South-African	2026-01-27	2026-01-27		Mutai et al.	WRAIR-Africa
AFI-MNB-1805	AFI-MNB-1805	AFI-MNB-1805	2025-05-13	Africa	Kenya	Mombasa	Likoni		Homo sapiens	East-Central-South-African	2026-01-27	2026-01-27		Mutai et al.	WRAIR-Africa
AFI-MNB-1806	AFI-MNB-1806	AFI-MNB-1806	2025-05-13	Africa	Kenya	Mombasa	Likoni		Homo sapiens	East-Central-South-African	2026-01-27	2026-01-27		Mutai et al.	WRAIR-Africa
AFI-MNB-1807	AFI-MNB-1807	AFI-MNB-1807	2025-05-13	Africa	Kenya	Mombasa	Likoni		Homo sapiens	East-Central-South-African	2026-01-27	2026-01-27		Mutai et al.	WRAIR-Africa
AFI-MNB-1809	AFI-MNB-1809	AFI-MNB-1809	2025-05-14	Africa	Kenya	Mombasa	Likoni		Homo sapiens	East-Central-South-African	2026-01-27	2026-01-27		Mutai et al.	WRAIR-Africa
AFI-MNB-1810	AFI-MNB-1810	AFI-MNB-1810	2025-05-14	Africa	Kenya	Mombasa	Likoni		Homo sapiens	East-Central-South-African	2026-01-27	2026-01-27		Mutai et al.	WRAIR-Africa
AFI-MNB-1811	AFI-MNB-1811	AFI-MNB-1811	2025-05-14	Africa	Kenya	Mombasa	Likoni		Homo sapiens	East-Central-South-African	2026-01-27	2026-01-27		Mutai et al.	WRAIR-Africa
AFI-MNB-1812	AFI-MNB-1812	AFI-MNB-1812	2025-05-14	Africa	Kenya	Mombasa	Likoni		Homo sapiens	East-Central-South-African	2026-01-27	2026-01-27		Mutai et al.	WRAIR-Africa
AFI-MNB-1813	AFI-MNB-1813	AFI-MNB-1813	2025-05-15	Africa	Kenya	Mombasa	Likoni		Homo sapiens	East-Central-South-African	2026-01-27	2026-01-27		Mutai et al.	WRAIR-Africa
AFI-MNB-1875	AFI-MNB-1875	AFI-MNB-1875	2025-06-17	Africa	Kenya	Mombasa	Likoni		Homo sapiens	East-Central-South-African	2026-01-27	2026-01-27		Mutai et al.	WRAIR-Africa
AFI-MNB-1876	AFI-MNB-1876	AFI-MNB-1876	2025-06-17	Africa	Kenya	Mombasa	Likoni		Homo sapiens	East-Central-South-African	2026-01-27	2026-01-27		Mutai et al.	WRAIR-Africa
AFI-MNB-1877	AFI-MNB-1877	AFI-MNB-1877	2025-06-17	Africa	Kenya	Mombasa	Likoni		Homo sapiens	East-Central-South-African	2026-01-27	2026-01-27		Mutai et al.	WRAIR-Africa
AFI-MNB-1878	AFI-MNB-1878	AFI-MNB-1878	2025-06-17	Africa	Kenya	Mombasa	Likoni		Homo sapiens	East-Central-South-African	2026-01-27	2026-01-27		Mutai et al.	WRAIR-Africa
AFI-MNB-1880	AFI-MNB-1880	AFI-MNB-1880	2025-06-17	Africa	Kenya	Mombasa	Likoni		Homo sapiens	East-Central-South-African	2026-01-27	2026-01-27		Mutai et al.	WRAIR-Africa
AFI-MNB-1882	AFI-MNB-1882	AFI-MNB-1882	2025-06-17	Africa	Kenya	Mombasa	Likoni		Homo sapiens	East-Central-South-African	2026-01-27	2026-01-27		Mutai et al.	WRAIR-Africa
AFI-MNB-1885	AFI-MNB-1885	AFI-MNB-1885	2025-06-18	Africa	Kenya	Mombasa	Likoni		Homo sapiens	East-Central-South-African	2026-01-27	2026-01-27		Mutai et al.	WRAIR-Africa
AFI-MNB-1886	AFI-MNB-1886	AFI-MNB-1886	2025-06-18	Africa	Kenya	Mombasa	Jomvu		Homo sapiens	East-Central-South-African	2026-01-27	2026-01-27		Mutai et al.	WRAIR-Africa
AFI-MNB-1888	AFI-MNB-1888	AFI-MNB-1888	2025-06-18	Africa	Kenya	Mombasa	Likoni		Homo sapiens	East-Central-South-African	2026-01-27	2026-01-27		Mutai et al.	WRAIR-Africa
AFI-MNB-1889	AFI-MNB-1889	AFI-MNB-1889	2025-06-18	Africa	Kenya	Mombasa	Likoni		Homo sapiens	East-Central-South-African	2026-01-27	2026-01-27		Mutai et al.	WRAIR-Africa
AFI-MNB-1890	AFI-MNB-1890	AFI-MNB-1890	2025-06-18	Africa	Kenya	Mombasa	Likoni		Homo sapiens	East-Central-South-African	2026-01-27	2026-01-27		Mutai et al.	WRAIR-Africa
AFI-MNB-1892	AFI-MNB-1892	AFI-MNB-1892	2025-06-19	Africa	Kenya	Mombasa	Kisauni		Homo sapiens	East-Central-South-African	2026-01-27	2026-01-27		Mutai et al.	WRAIR-Africa
AFI-MNB-1893	AFI-MNB-1893	AFI-MNB-1893	2025-06-19	Africa	Kenya	Mombasa	Likoni		Homo sapiens	East-Central-South-African	2026-01-27	2026-01-27		Mutai et al.	WRAIR-Africa
AFI-MNB-1894	AFI-MNB-1894	AFI-MNB-1894	2025-06-20	Africa	Kenya	Mombasa	Likoni		Homo sapiens	East-Central-South-African	2026-01-27	2026-01-27		Mutai et al.	WRAIR-Africa
AFI-MNB-1975	AFI-MNB-1975	AFI-MNB-1975	2025-09-02	Africa	Kenya	Mombasa	Likoni		Homo sapiens	East-Central-South-African	2026-01-27	2026-01-27		Mutai et al.	WRAIR-Africa
nvrl-603	nvrl-603	nvrl-603	2024-12-05	Africa	Kenya	Garissa	Hagadera		Homo sapiens	East-Central-South-African	2026-01-27	2026-01-27		Mutai et al.	WRAIR-Africa
